id,month,year,region,population,pulmonary_tuberculosis,other_tuberculosis,typhoid,diptheria_and_croup,diptheria,croup,scarlet_fever,measles,whooping_cough,pneumonia,diarrhea_and_enteritis,diarrhea_under_five,cerebro_spinal_fever,polio,influenza,septicemia,cancer,external_causes,violence,smallpox
207,7,1919,class_3_cities,290018,15,9,9,3,...,...,0,1,0,9,20,...,0,0,0,2,26,31,...,1
208,7,1919,class_4_cities,165854,16,3,2,0,...,...,0,0,0,3,11,...,0,1,0,2,12,12,...,0
209,7,1919,class_5_cities,135780,12,2,0,0,...,...,0,0,1,7,9,...,0,0,1,0,17,9,...,0
210,8,1919,indiana,2948088,166,40,38,14,...,...,3,0,6,47,158,...,2,3,17,15,202,190,...,0
211,8,1919,northern_counties,1042514,41,9,6,4,...,...,0,0,0,20,47,...,2,3,5,3,76,67,...,0
212,8,1919,central_counties,1219131,86,14,15,8,...,...,3,0,1,20,69,...,0,0,10,7,77,80,...,0
213,8,1919,southern_counties,686443,39,17,17,2,...,...,0,0,5,7,42,...,0,0,2,5,49,43,...,0
214,8,1919,urban,1246909,81,23,15,8,...,...,2,0,4,33,81,...,1,1,10,9,99,93,...,0
215,8,1919,rural,1701179,85,17,23,6,...,...,1,0,2,14,77,...,1,2,7,6,103,97,...,0
216,8,1919,class_1_cities,300000,35,7,0,2,...,...,1,0,1,6,17,...,0,0,4,3,17,22,...,0
217,8,1919,class_2_cities,355257,21,4,6,1,...,...,0,0,3,9,21,...,0,1,1,1,28,25,...,0
218,8,1919,class_3_cities,290018,14,6,4,4,...,...,1,0,0,14,23,...,1,0,4,3,34,24,...,0
219,8,1919,class_4_cities,165854,7,3,2,1,...,...,0,0,0,3,15,...,0,0,1,2,7,9,...,0
220,8,1919,class_5_cities,135780,4,3,3,0,...,...,0,0,0,1,5,...,0,0,0,0,13,13,...,0
221,9,1919,indiana,2948088,172,31,48,17,...,...,4,1,2,67,162,...,5,3,18,10,182,185,...,0
222,9,1919,northern_counties,1042514,43,11,17,6,...,...,4,1,0,24,65,...,2,1,8,2,66,83,...,0
223,9,1919,central_counties,1219131,83,10,23,10,...,...,0,0,1,32,55,...,3,1,6,6,77,71,...,0
224,9,1919,southern_counties,686443,46,10,8,1,...,...,0,0,1,11,42,...,0,1,4,2,39,31,...,0
225,9,1919,urban,1246909,80,17,19,12,...,...,4,0,1,37,85,...,3,0,9,3,81,100,...,0
226,9,1919,rural,1701179,92,14,29,5,...,...,0,0,1,30,77,...,2,3,9,7,101,85,...,0
227,9,1919,class_1_cities,300000,23,6,2,4,...,...,0,0,0,13,15,...,0,0,2,1,21,14,...,0
228,9,1919,class_2_cities,355257,26,2,3,1,...,...,1,0,0,11,14,...,1,0,2,2,23,33,...,0
229,9,1919,class_3_cities,290018,14,3,5,6,...,...,3,0,0,7,31,...,2,0,2,0,16,30,...,0
230,9,1919,class_4_cities,165854,9,4,6,1,...,...,0,0,0,2,15,...,0,0,0,0,12,11,...,0
231,9,1919,class_5_cities,135780,8,2,3,0,...,...,0,0,0,4,10,...,0,0,3,0,9,12,...,0
232,10,1919,indiana,2948088,174,37,40,28,...,...,4,1,3,116,156,...,1,7,27,11,195,182,...,0
233,10,1919,northern_counties,1042514,42,7,22,10,...,...,0,1,2,43,65,...,0,2,14,1,67,69,...,0
234,10,1919,central_counties,1219131,82,18,10,10,...,...,3,0,1,52,74,...,1,4,11,8,85,79,...,0
