Month,Year,Region,Population,"Pulmonary Tuberculosis","Other Forms, Tuberculosis","Typhoid Fever","Diptheria and Croup",Diptheria,Croup,"Scarlet Fever",Measles,"Whooping Cough",Pneumonia,"Diarrhea and Enteritis, Under 2 Years","Diarrheal Diseases, Under 5 Years","Cerebro-Spinal Fever",Poliomyelitis,Influenza,"Puerperal Septicemia",Cancer,"External Causes",Violence,Smallpox
October,1917,"Northern counties",1009364,74,11,24,17,...,...,3,2,6,77,49,...,3,4,3,3,74,93,...,0
October,1917,"Central counties",1191458,112,30,24,34,...,...,4,2,8,86,42,...,1,1,1,9,93,101,...,0
October,1917,"Southern counties",688793,59,11,21,13,...,...,3,0,4,44,35,...,0,1,1,3,30,45,...,0
October,1917,Urban,1337022,122,32,32,42,...,...,10,2,5,125,72,...,0,5,3,12,105,130,...,0
October,1917,Rural,1552593,123,20,37,22,...,...,0,2,13,82,54,...,4,1,2,3,92,109,...,0
October,1917,"Cities, class 1",272338,27,8,4,13,...,...,1,0,0,32,12,...,0,0,0,2,30,28,...,0
October,1917,"Cities, class 2",291031,24,3,11,10,...,...,1,0,3,22,16,...,0,0,2,2,25,25,...,0
October,1917,"Cities, class 3",311158,33,9,8,7,...,...,1,2,2,42,22,...,0,5,0,2,21,49,...,0
October,1917,"Cities, class 4",155949,15,3,2,4,...,...,2,0,0,6,7,...,0,0,0,3,11,13,...,0
October,1917,"Cities, class 5",306546,23,9,7,8,...,...,5,0,0,23,15,...,0,0,1,3,18,15,...,0
November,1917,"Indiana (statewide)",2889615,212,38,48,52,...,...,11,2,16,247,52,...,3,2,14,16,207,242,...,1
November,1917,"Northern counties",1009364,53,8,10,24,...,...,3,2,5,89,24,...,2,0,7,5,74,95,...,0
November,1917,"Central counties",1191458,96,17,18,19,...,...,7,0,8,103,17,...,1,1,3,7,92,102,...,0
November,1917,"Southern counties",688793,63,13,20,9,...,...,1,0,3,55,11,...,0,1,4,4,41,45,...,1
November,1917,Urban,1335134,112,22,23,34,...,...,4,2,8,141,37,...,3,0,3,11,106,145,...,1
November,1917,Rural,1554481,100,16,25,18,...,...,7,0,8,106,15,...,0,2,11,5,101,97,...,0
November,1917,"Cities, class 1",272338,31,5,2,7,...,...,0,0,2,21,4,...,0,0,0,1,26,27,...,0
November,1917,"Cities, class 2",289143,34,5,3,6,...,...,0,0,1,31,7,...,2,0,0,1,22,27,...,0
November,1917,"Cities, class 3",311158,18,7,8,18,...,...,2,2,3,49,17,...,1,0,1,4,23,54,...,0
November,1917,"Cities, class 4",155949,8,2,4,1,...,...,2,0,2,15,3,...,0,0,1,3,10,10,...,0
November,1917,"Cities, class 5",306546,21,3,6,2,...,...,0,0,0,25,6,...,0,0,1,2,25,27,...,1
December,1917,"Indiana (statewide)",2889615,278,38,34,63,...,...,14,3,26,335,54,...,1,1,39,21,213,212,...,0
December,1917,"Northern counties",1009364,78,9,9,23,...,...,5,2,10,110,29,...,0,1,13,8,87,78,...,0
December,1917,"Central counties",1191458,124,20,15,33,...,...,8,0,9,158,18,...,1,0,14,11,82,92,...,0
December,1917,"Southern counties",688793,76,9,10,7,...,...,1,1,7,67,7,...,0,0,12,2,44,42,...,0
December,1917,Urban,1337022,149,18,19,43,...,...,6,1,24,175,36,...,1,1,19,14,111,147,...,0
December,1917,Rural,1552593,129,20,15,20,...,...,8,2,2,160,18,...,0,0,20,7,102,65,...,0
December,1917,"Cities, class 1",272338,40,6,5,17,...,...,1,0,1,40,5,...,1,0,1,6,20,27,...,0
December,1917,"Cities, class 2",291031,26,4,4,5,...,...,2,0,7,30,4,...,0,0,3,2,21,30,...,0
December,1917,"Cities, class 3",311158,32,2,6,16,...,...,2,1,7,48,17,...,0,1,8,3,27,54,...,0
December,1917,"Cities, class 4",155949,18,2,0,2,...,...,1,0,3,26,3,...,0,0,1,1,13,10,...,0
December,1917,"Cities, class 5",306546,33,4,4,3,...,...,0,0,6,31,7,...,0,0,6,2,30,26,...,0
January,1918,"Indiana (statewide)",2911665,262,36,17,65,...,...,22,8,45,470,56,...,3,2,68,28,215,156,...,3
January,1918,"Northern counties",1016514,70,5,5,25,...,...,8,3,24,162,27,...,1,0,20,9,91,50,...,1
January,1918,"Central counties",1208708,118,21,7,29,...,...,8,2,11,205,20,...,2,1,24,9,92,75,...,2
January,1918,"Southern counties",686443,74,10,5,11,...,...,6,3,10,103,9,...,0,1,24,10,32,31,...,0
January,1918,Urban,1210486,121,21,7,29,...,...,7,3,16,242,32,...,3,0,18,18,104,92,...,3
January,1918,Rural,1701179,141,15,10,36,...,...,15,5,29,228,24,...,0,2,50,10,111,64,...,0
January,1918,"Cities, class 1",289577,31,10,1,11,...,...,3,0,1,68,8,...,1,0,2,3,30,33,...,1
January,1918,"Cities, class 2",299257,27,5,4,6,...,...,0,0,3,59,6,...,1,0,3,8,22,21,...,0
January,1918,"Cities, class 3",320018,35,1,1,9,...,...,0,2,10,69,14,...,1,0,7,4,26,26,...,2
January,1918,"Cities, class 4",165854,13,3,1,0,...,...,3,1,0,27,4,...,0,0,2,1,14,3,...,0
January,1918,"Cities, class 5",135780,15,2,0,3,...,...,1,0,2,19,0,...,0,0,4,2,12,9,...,0
February,1918,"Indiana (statewide)",2911665,292,50,16,45,...,...,17,12,51,349,69,...,3,0,64,26,200,203,...,7
February,1918,"Northern counties",1016514,90,11,5,15,...,...,6,4,16,109,50,...,0,0,20,2,89,70,...,1
February,1918,"Central counties",1208708,108,29,1,22,...,...,8,5,20,151,11,...,1,0,25,20,69,99,...,3
February,1918,"Southern counties",686443,94,10,10,8,...,...,3,3,15,89,8,...,2,0,19,4,42,34,...,3
February,1918,Urban,1210486,137,25,7,22,...,...,9,4,19,189,53,...,2,0,17,10,94,106,...,3
February,1918,Rural,1701179,155,25,9,23,...,...,8,8,32,160,16,...,1,0,47,16,106,97,...,4
February,1918,"Cities, class 1",289577,29,9,1,6,...,...,3,1,4,54,2,...,1,0,0,2,20,25,...,1
February,1918,"Cities, class 2",299257,29,1,1,5,...,...,0,0,2,47,4,...,0,0,3,5,27,24,...,0
February,1918,"Cities, class 3",320018,40,8,4,10,...,...,1,1,8,45,36,...,1,0,9,1,25,41,...,1
February,1918,"Cities, class 4",165854,22,5,1,0,...,...,1,1,3,25,0,...,0,0,3,1,7,8,...,0
February,1918,"Cities, class 5",135780,17,2,0,1,...,...,4,1,2,18,11,...,0,0,2,1,15,8,...,1
March,1918,"Indiana (statewide)",2911665,360,52,23,42,...,...,18,20,77,458,95,...,6,2,67,32,253,236,...,2
March,1918,"Northern counties",1016514,96,15,16,16,...,...,8,5,23,148,63,...,1,0,21,11,104,103,...,1
March,1918,"Central counties",1208708,156,22,3,19,...,...,10,7,29,199,25,...,5,1,23,18,107,84,...,1
March,1918,"Southern counties",686443,108,15,4,7,...,...,0,8,25,111,7,...,0,1,23,3,42,49,...,0
March,1918,Urban,1210486,152,25,17,18,...,...,12,10,37,251,70,...,4,0,26,22,116,128,...,2
March,1918,Rural,1701179,208,27,6,24,...,...,6,10,40,207,25,...,2,2,41,10,137,108,...,0
March,1918,"Cities, class 1",289577,46,6,1,5,...,...,5,1,9,67,8,...,3,0,2,10,28,20,...,0
March,1918,"Cities, class 2",299257,40,3,3,2,...,...,2,3,3,61,9,...,0,0,7,4,27,31,...,1
March,1918,"Cities, class 3",320018,36,12,10,7,...,...,1,3,14,81,40,...,1,0,14,3,25,48,...,0
March,1918,"Cities, class 4",165854,20,3,1,1,...,...,4,3,5,25,7,...,0,0,2,3,14,13,...,1
March,1918,"Cities, class 5",135780,10,1,2,3,...,...,0,0,6,17,6,...,0,0,1,2,22,16,...,0
April,1918,"Indiana (statewide)",2911665,383,66,26,47,...,...,17,29,108,556,72,...,11,1,126,29,194,207,...,3
April,1918,"Northern counties",1016514,98,13,11,15,...,...,6,8,20,233,42,...,1,1,48,7,70,82,...,1
April,1918,"Central counties",1208708,183,36,9,26,...,...,10,11,63,225,25,...,8,0,44,16,85,84,...,1
April,1918,"Southern counties",686443,102,17,6,6,...,...,1,10,25,98,5,...,2,0,34,6,39,41,...,1
April,1918,Urban,1210486,183,35,14,32,...,...,10,9,49,364,57,...,8,0,66,19,94,122,...,1
